Year,Day,Hour,Minutes,Status,Activity,Temp,Blocknumber,Latitude,Longitude,Altitude,Speed,Hdop,Num_of_sats,Fix_time,2D/3D
21,117,12,0,2,0,25,37,-32.499585,152.307006,15,0,0.8,11,38,3
21,117,13,0,2,0,25,38,-32.499598,152.307006,28,0,0.8,11,38,3
21,117,14,0,2,0,25,39,-32.499477,152.307032,24,0,0.8,11,38,3
21,117,15,0,2,0,25,40,-32.499439,152.306955,14,0,0.7,12,38,3
21,117,16,0,2,0,25,41,-32.499432,152.306955,11,0,0.9,10,38,3
21,117,17,0,2,0,24,42,-32.499432,152.306879,15,0,0.8,11,38,3
21,117,18,0,2,31,18,43,-32.509198,152.319315,17,0,1.1,8,38,3
21,117,19,0,2,10,21,44,-32.50956,152.319137,0,0,0.8,9,38,3
21,117,20,0,2,33,18,45,-32.509141,152.320536,19,0,0.7,10,38,3
21,117,21,0,2,39,16,46,-32.527992,152.322825,0,0,0.7,11,38,3
21,117,22,0,2,57,15,47,-32.516287,152.323333,5,0,1,9,38,3
21,117,23,0,2,5,16,48,-32.517737,152.323104,0,0,0.8,10,38,3
21,118,0,0,2,15,15,49,-32.509319,152.319442,0,0.1,0.8,10,38,3
21,118,1,0,2,0,24,50,-32.517628,152.323181,0,0,1.1,7,38,3
21,118,2,0,2,0,26,51,-32.517406,152.323308,31,0,0.9,8,39,3
21,118,3,0,2,0,25,52,-32.517628,152.323308,19,0,1,8,38,3
21,118,4,0,2,0,25,53,-32.517533,152.323181,0,0,1.1,7,40,3
21,118,5,0,2,0,23,54,-32.517514,152.323054,0,0,0.8,10,38,3
21,118,6,0,2,0,22,55,-32.517584,152.323104,5,0,0.8,10,38,3
21,118,7,0,2,38,13,56,-32.512905,152.322214,9,0,1,9,38,3
21,118,8,0,2,31,16,57,-32.509198,152.319824,5,0,0.7,11,38,3
21,118,9,0,2,0,22,58,-32.509694,152.319468,12,0,0.8,10,39,3
21,118,10,0,2,82,18,59,-32.527788,152.322469,3,0.1,0.8,9,38,3
21,118,11,0,2,43,21,60,-32.543422,152.310338,7,0,1,8,38,3
21,118,12,0,2,1,23,61,-32.53543,152.32402,17,0,0.8,11,38,3
