,X,Date.Time,Asset,Serial.Number,Type,Raw.Payload,Name.Value.Pairs,Latitude,Longitude,Dog,DateTime
1853,1853,43804.04583,DINGO-004,0-2687054,Standard,8.89E+19,"latitude=-32.656034, longitude=152.182639, cause=LOCATION, GPSFail Abort=0, inMotion=no, GPSFix=3D, input 1=Level1, input 2=Level1, Battery Low=Replace, network type=Satellite, ",-32.656034,152.182639,DINGO-004,2019-12-05 01:06:00
1854,1854,43803.87292,DINGO-004,0-2687054,Standard,8.89E+19,"latitude=-32.667342, longitude=152.174077, cause=LOCATION, Battery Low=Replace, network type=Satellite, GPSFail Abort=0, inMotion=no, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, ",-32.667342,152.174077,DINGO-004,2019-12-04 20:57:00
1855,1855,43803.80417,DINGO-004,0-2687054,Standard,8.89E+19,"latitude=-32.667654, longitude=152.172489, cause=LOCATION, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Replace, input 2=Level1, GPS Quality=3D, input 1=Level1, GPSFix=3D, ",-32.667654,152.172489,DINGO-004,2019-12-04 19:18:00
1856,1856,43803.70833,DINGO-004,0-2687054,Standard,8.89E+19,"latitude=-32.672471, longitude=152.184463, cause=LOCATION, GPSFail Abort=0, network type=Satellite, GPSFix=3D, inMotion=no, input 1=Level1, Battery Low=Replace, input 2=Level1, ",-32.672471,152.184463,DINGO-004,2019-12-04 17:00:00
1857,1857,43803.63194,DINGO-004,0-2687054,Standard,8.89E+19,"latitude=-32.643063, longitude=152.188733, cause=LOCATION, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Replace, network type=Satellite, GPSFail Abort=0, inMotion=no, ",-32.643063,152.188733,DINGO-004,2019-12-04 15:10:00
1858,1858,43803.54861,DINGO-004,0-2687054,Standard,8.89E+19,"latitude=-32.663738, longitude=152.184463, cause=LOCATION, network type=Satellite, Battery Low=Replace, inMotion=no, GPSFail Abort=0, GPSFix=3D, input 2=Level1, input 1=Level1, ",-32.663738,152.184463,DINGO-004,2019-12-04 13:10:00
1859,1859,43803.46667,DINGO-004,0-2687054,Standard,8.89E+19,"latitude=-32.659993, longitude=152.175708, cause=LOCATION, inMotion=no, GPSFix=3D, network type=Satellite, GPSFail Abort=0, input 2=Level1, Battery Low=Replace, input 1=Level1, ",-32.659993,152.175708,DINGO-004,2019-12-04 11:12:00
1860,1860,43803.28819,DINGO-004,0-2687054,Standard,8.89E+19,"latitude=-32.654747, longitude=152.173026, cause=LOCATION, network type=Satellite, GPSFail Abort=0, inMotion=no, GPSFix=3D, input 1=Level1, input 2=Level1, Battery Low=Replace, ",-32.654747,152.173026,DINGO-004,2019-12-04 06:55:00
1861,1861,43802.88472,DINGO-004,0-2687054,Standard,8.89E+19,"latitude=-32.654661, longitude=152.178025, cause=LOCATION, GPSFix=3D, GPSFail Abort=0, inMotion=no, Battery Low=Replace, network type=Satellite, input 1=Level1, input 2=Level1, GPS Quality=3D, ",-32.654661,152.178025,DINGO-004,2019-12-03 21:14:00
1862,1862,43802.78611,DINGO-004,0-2687054,Standard,8.89E+19,"latitude=-32.655187, longitude=152.183046, cause=LOCATION, input 2=Level1, GPS Quality=3D, input 1=Level1, network type=Satellite, Battery Low=Replace, inMotion=no, GPSFail Abort=0, GPSFix=3D, ",-32.655187,152.183046,DINGO-004,2019-12-03 18:52:00
1863,1863,43802.71528,DINGO-004,0-2687054,Standard,8.89E+19,"latitude=-32.65523, longitude=152.182939, cause=LOCATION, input 2=Level1, input 1=Level1, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Replace, ",-32.65523,152.182939,DINGO-004,2019-12-03 17:10:00
1864,1864,43802.62292,DINGO-004,0-2687054,Standard,8.89E+19,"latitude=-32.655305, longitude=152.182961, cause=LOCATION, network type=Satellite, GPSFail Abort=0, inMotion=no, GPSFix=3D, input 1=Level1, input 2=Level1, Battery Low=Replace, ",-32.655305,152.182961,DINGO-004,2019-12-03 14:57:00
1865,1865,43802.54792,DINGO-004,0-2687054,Standard,8.89E+19,"latitude=-32.655165, longitude=152.183797, cause=LOCATION, GPSFail Abort=0, network type=Satellite, Battery Low=Replace, input 2=Level1, GPS Quality=3D, input 1=Level1, GPSFix=3D, inMotion=no, ",-32.655165,152.183797,DINGO-004,2019-12-03 13:09:00
