CollarSerialNumber,Year,Julianday,Hour,Minute,Activity,Temperature,Latitude,Longitude,Hdop,NumSats,FixTime,2D/3D,Date,Time Zone
51895,22,98,11,1,42,33,-32.44544,152.51811,1.8,4,95,3,8/04/2022,local
51895,22,98,12,0,34,34,-32.44501,152.51853,1.4,5,38,3,8/04/2022,local
51895,22,98,13,0,56,33,-32.44552,152.51792,0.8,10,42,3,8/04/2022,local
51895,22,98,14,0,78,35,-32.44892,152.51556,0.9,8,38,3,8/04/2022,local
51895,22,98,15,0,4,37,-32.44896,152.51548,0.9,8,38,3,8/04/2022,local
51895,22,98,16,0,16,37,-32.4491,152.51628,0.8,9,38,3,8/04/2022,local
51895,22,98,17,0,28,32,-32.44915,152.51625,1.2,8,39,3,8/04/2022,local
51895,22,98,19,1,2,29,-32.44881,152.51531,2.9,4,101,3,8/04/2022,local
51895,22,98,20,0,18,29,-32.44934,152.51567,0.7,11,42,3,8/04/2022,local
51895,22,98,21,1,58,29,-32.44862,152.51582,1,8,68,3,8/04/2022,local
51895,22,98,22,0,2,29,-32.44862,152.51585,1.1,7,38,3,8/04/2022,local
51895,22,98,23,0,62,30,-32.44932,152.51582,0.8,9,38,3,8/04/2022,local
51895,22,99,0,0,16,30,-32.44871,152.51567,0.9,8,53,3,9/04/2022,local
51895,22,99,4,1,2,31,-32.44854,152.51589,1.1,8,59,3,9/04/2022,local
51895,22,99,5,0,76,28,-32.44944,152.51615,0.7,11,38,3,9/04/2022,local
51895,22,99,6,0,46,28,-32.44907,152.51472,0.7,11,38,3,9/04/2022,local
51895,22,99,7,0,54,28,-32.44913,152.51609,0.8,10,38,3,9/04/2022,local
51895,22,99,8,0,52,30,-32.44913,152.5162,0.9,9,38,3,9/04/2022,local
51895,22,99,9,0,60,31,-32.44874,152.51602,0.8,9,38,3,9/04/2022,local
51895,22,99,10,0,24,32,-32.45068,152.51681,0.9,8,37,3,9/04/2022,local
51895,22,99,11,0,0,33,-32.45063,152.51676,1,7,40,3,9/04/2022,local
51895,22,99,12,0,10,33,-32.45061,152.51673,1.2,7,38,3,9/04/2022,local
51895,22,99,13,0,88,36,-32.4482,152.51486,0.8,10,38,3,9/04/2022,local
51895,22,99,14,0,72,32,-32.44627,152.51692,0.9,8,39,3,9/04/2022,local
51895,22,99,15,0,88,30,-32.44909,152.51536,0.9,8,38,3,9/04/2022,local
51895,22,99,17,0,88,30,-32.4482,152.5151,1,8,38,3,9/04/2022,local
51895,22,99,18,0,52,30,-32.44998,152.51544,1.2,8,38,3,9/04/2022,local
51895,22,99,19,0,0,30,-32.45011,152.51548,0.9,9,38,3,9/04/2022,local
51895,22,99,20,0,0,30,-32.45001,152.51556,0.9,9,38,3,9/04/2022,local
51895,22,99,22,0,2,30,-32.44852,152.51577,1.3,7,38,3,9/04/2022,local
51895,22,99,23,0,2,30,-32.44872,152.51579,1.4,5,48,3,9/04/2022,local
51895,22,100,0,0,0,30,-32.4487,152.51559,0.9,8,38,3,10/04/2022,local
51895,22,100,2,0,60,30,-32.44953,152.51632,0.7,10,38,3,10/04/2022,local
51895,22,100,6,1,54,28,-32.44812,152.51524,0.7,11,87,3,10/04/2022,local
51895,22,100,7,0,76,28,-32.44834,152.516,0.8,10,38,3,10/04/2022,local
51895,22,100,8,0,32,30,-32.44693,152.51632,1,8,38,3,10/04/2022,local
51895,22,100,9,0,64,32,-32.44834,152.51602,0.8,9,38,3,10/04/2022,local
51895,22,100,10,0,40,34,-32.4468,152.5173,1.3,6,40,3,10/04/2022,local
51895,22,100,11,0,8,37,-32.447,152.51708,1.3,6,39,3,10/04/2022,local
51895,22,100,12,1,8,45,-32.44689,152.51715,1.1,6,95,3,10/04/2022,local
51895,22,100,13,0,4,36,-32.4468,152.51716,0.9,9,38,3,10/04/2022,local
51895,22,100,14,0,24,36,-32.44687,152.5167,0.9,9,38,3,10/04/2022,local
51895,22,100,15,0,94,33,-32.44682,152.51731,0.9,8,37,3,10/04/2022,local
51895,22,100,16,0,28,33,-32.44902,152.5164,0.9,8,38,3,10/04/2022,local
51895,22,100,17,0,66,32,-32.44923,152.51625,1.2,7,39,3,10/04/2022,local
51895,22,100,18,0,16,30,-32.44919,152.51617,0.8,9,38,3,10/04/2022,local
51895,22,100,19,0,34,29,-32.44937,152.51498,1.2,6,38,3,10/04/2022,local
51895,22,100,20,0,12,29,-32.44899,152.51594,0.9,9,38,3,10/04/2022,local
51895,22,100,21,0,14,29,-32.44844,152.51577,0.9,9,38,3,10/04/2022,local
51895,22,100,22,0,2,31,-32.44847,152.51582,1.5,6,38,3,10/04/2022,local
51895,22,100,23,0,20,29,-32.44878,152.5151,1.1,8,38,3,10/04/2022,local
51895,22,101,0,0,80,28,-32.44785,152.51571,0.8,10,37,3,11/04/2022,local
51895,22,101,1,0,14,28,-32.44785,152.51513,0.9,8,40,3,11/04/2022,local
51895,22,101,2,0,22,28,-32.44778,152.5151,0.9,8,40,3,11/04/2022,local
51895,22,101,3,0,2,29,-32.44774,152.51513,1.1,7,38,3,11/04/2022,local
51895,22,101,4,0,0,29,-32.44771,152.51536,1.1,8,38,3,11/04/2022,local
