Year,Day,Hour,Minutes,Status,Activity,Temp,Blocknumber,Latitude,Longitude,Altitude,Speed,Hdop,Num_of_sats,Fix_time,2D/3D
22,95,19,0,2,4,27,98,-32.543727,152.31016,6,0,1.1,7,41,3
22,95,20,0,2,56,25,99,-32.543607,152.309702,16,0,0.8,9,38,3
22,95,21,0,2,70,25,100,-32.54339,152.309982,9,0,0.7,11,38,3
22,95,22,0,2,24,25,101,-32.541362,152.312525,22,0,1.1,8,38,3
22,95,23,0,2,0,25,102,-32.538921,152.317688,0,0,1.3,7,38,3
22,96,0,0,2,0,25,103,-32.538838,152.317611,0,0,0.8,9,38,3
22,96,1,0,2,0,26,104,-32.523942,152.322621,0,0,1.1,7,38,3
22,96,2,0,2,0,27,105,-32.523904,152.322469,0,0,1.4,6,38,3
22,96,3,0,2,0,28,106,-32.524234,152.32224,10,0,0.9,8,37,3
22,96,4,0,2,0,28,107,-32.523916,152.322596,33,0,1.2,8,37,3
22,96,5,0,2,0,29,108,-32.523948,152.322596,0,0,1.2,7,38,3
22,96,6,0,2,0,31,109,-32.523897,152.322596,19,0,0.9,10,38,3
22,96,7,0,2,1,31,110,-32.523948,152.322545,1,0,0.8,10,38,3
22,96,8,0,2,0,31,111,-32.523929,152.322545,16,0,1.1,8,39,3
22,96,9,0,2,0,31,112,-32.523967,152.322647,2,0,1,8,38,3
22,96,10,0,2,0,32,113,-32.523916,152.322672,28,0,1.1,7,38,3
22,96,11,0,2,0,35,114,-32.523929,152.322672,25,0,0.8,10,38,3
22,96,12,0,2,0,32,115,-32.523897,152.322596,28,0,1,8,38,3
22,96,13,0,2,0,32,116,-32.523885,152.322647,36,0,0.9,10,38,3
22,96,14,0,2,35,30,117,-32.539207,152.315297,4,0,1,8,38,3
22,96,15,0,2,0,32,118,-32.539283,152.315424,4,0,0.9,8,38,3
22,96,16,0,2,1,32,119,-32.539188,152.315348,21,0,0.9,8,38,3
22,96,17,0,2,55,29,120,-32.545431,152.307032,24,0,0.8,10,38,3
22,96,18,0,2,44,27,121,-32.561682,152.301081,5,0,0.9,8,38,3
22,96,19,0,2,79,27,122,-32.589288,152.275878,9,0,1.2,6,38,3
22,96,20,0,2,29,27,123,-32.597019,152.24798,25,0,0.7,11,38,3
22,96,21,0,2,21,28,124,-32.600121,152.242233,1,0,0.8,10,38,3
22,96,22,0,2,25,25,125,-32.593452,152.252685,1,0,0.9,9,38,3
22,96,23,0,2,83,26,126,-32.58492,152.281575,6,0.4,0.9,9,38,3
22,97,0,0,2,31,27,127,-32.552355,152.303243,0,0,0.8,10,38,3
22,97,2,0,2,24,25,129,-32.509249,152.319849,8,0,0.9,8,38,3
22,97,3,0,2,68,25,130,-32.506687,152.315653,16,0.3,0.8,9,38,3
22,97,4,0,2,3,26,131,-32.49989,152.308354,1,0,1.3,8,38,3
22,97,5,0,2,1,28,132,-32.497951,152.310287,30,0,0.7,11,38,3
22,97,6,0,2,45,25,133,-32.496044,152.314585,18,0.1,0.7,10,38,3
22,97,7,0,2,91,24,134,-32.50642,152.324376,34,0.3,0.8,9,66,3
22,97,8,0,2,1,25,135,-32.505898,152.330225,20,0,1,9,38,3
22,97,9,0,2,0,30,136,-32.506095,152.330251,49,0,0.8,10,38,3
22,97,10,0,2,0,30,137,-32.505809,152.330174,17,0,0.9,8,37,3
22,97,11,0,2,0,29,138,-32.50586,152.330123,19,0,1.1,7,38,3
22,97,12,0,2,0,29,139,-32.505892,152.330149,23,0,0.9,9,38,3
22,97,13,0,2,22,25,140,-32.509274,152.319239,31,0,0.8,10,38,3
22,97,14,0,2,33,25,141,-32.503826,152.319849,34,0,0.8,10,39,3
22,97,15,0,2,50,25,142,-32.5038,152.314712,6,0,0.8,9,38,3
22,97,16,0,2,0,30,143,-32.503762,152.315297,18,0,0.8,9,37,3
22,97,17,0,2,38,29,144,-32.507895,152.317535,23,0.1,0.8,10,38,3
22,97,18,0,2,42,27,145,-32.504849,152.325749,20,0.4,1.1,8,43,3
22,97,20,0,2,0,26,147,-32.473575,152.388692,17,0,0.8,10,38,3
22,97,21,0,2,0,30,148,-32.47355,152.388565,6,0,0.7,10,38,3
22,97,22,0,2,0,31,149,-32.473607,152.38859,20,0,0.9,9,38,3
22,97,23,0,2,0,33,150,-32.473639,152.388565,20,0,0.9,9,38,3
