Year,Day,Hour,Minutes,Status,Activity,Temp,Blocknumber,Latitude,Longitude,Altitude,Speed,Hdop,Num_of_sats,Fix_time,2D/3D
23,119,11,0,2,53,31,75,-32.640748,152.180638,22,0,2.2,5,120,3
23,119,12,0,2,46,30,76,-32.640831,152.180613,0,0,1.1,7,38,3
23,119,13,0,2,17,31,77,-32.640862,152.180613,22,0,1.1,7,38,3
23,119,14,0,2,0,31,78,-32.641454,152.17896,0,0,1.5,5,38,3
23,119,15,0,2,1,31,79,-32.641504,152.17896,21,0,1.9,4,49,3
23,119,16,0,2,1,30,80,-32.641377,152.180206,17,0,1,7,38,3
23,119,17,0,2,66,28,81,-32.643622,152.185139,17,0.4,1.7,5,38,3
23,119,18,0,2,94,25,82,-32.643653,152.18519,25,0.2,1.5,6,38,3
23,119,19,0,2,0,29,83,-32.643533,152.186106,3,0,1,8,41,3
23,119,20,0,2,1,28,84,-32.643571,152.186055,23,0,1.1,8,38,3
23,119,21,0,2,6,31,85,-32.64359,152.186106,8,0,1.2,7,38,3
23,119,22,0,2,78,25,86,-32.639553,152.173314,3,0,1.5,5,38,3
23,119,23,0,2,88,24,87,-32.640475,152.177408,10,0,1.2,6,71,3
23,120,0,0,2,0,30,88,-32.639165,152.179901,2,0,1.6,5,38,3
23,120,1,0,2,0,30,89,-32.639178,152.179926,23,0,1.5,6,38,3
23,120,2,0,2,3,32,90,-32.639228,152.179926,0,0,1.5,5,37,3
23,120,3,0,2,4,31,91,-32.63919,152.180079,33,0,0.9,8,38,3
23,120,4,0,2,1,34,92,-32.639254,152.179951,0,0,1,5,38,3
23,120,5,0,2,34,33,93,-32.640742,152.17957,68,0.1,1.9,6,38,3
23,120,6,0,2,19,25,94,-32.639197,152.180282,3,0,0.8,10,39,3
23,120,7,0,2,54,24,95,-32.639088,152.180384,0,0,1.1,8,38,3
23,120,8,0,2,11,29,96,-32.638949,152.180384,7,0,1,8,38,3
23,120,9,0,2,96,24,97,-32.644194,152.185368,12,0,0.7,11,38,3
23,120,10,0,2,50,25,98,-32.641816,152.177154,4,0,1,8,38,3
23,120,11,0,2,78,25,99,-32.644118,152.173899,4,0.1,0.8,10,38,3
23,120,12,0,2,89,25,100,-32.639222,152.168863,10,0,0.8,9,38,3
23,120,13,0,2,5,29,101,-32.637772,152.171534,0,0,0.8,9,38,3
23,120,14,0,2,14,29,102,-32.637702,152.171661,5,0,1,8,38,3
23,120,15,0,2,0,31,103,-32.637722,152.171585,3,0,0.9,8,40,3
23,120,16,0,2,39,27,104,-32.640436,152.174051,0,0,0.7,10,38,3
23,120,17,0,2,0,27,105,-32.64043,152.174153,0,0,0.9,9,38,3
23,120,18,0,2,93,22,106,-32.644594,152.185292,14,0.1,0.7,11,38,3
23,120,19,0,2,94,21,107,-32.640144,152.178858,0,0.1,0.9,9,40,3
23,120,20,0,2,3,25,108,-32.640805,152.179036,13,0,1.1,8,39,3
23,120,21,0,2,45,25,109,-32.639108,152.180358,20,0,1.1,7,38,3
23,120,22,0,2,3,32,110,-32.639158,152.180409,0,0,0.9,8,38,3
23,120,23,0,2,2,34,111,-32.639127,152.180282,0,0,0.9,8,37,3
23,121,0,0,2,85,23,112,-32.640195,152.179443,6,0,0.9,8,38,3
23,121,1,0,2,86,22,113,-32.649236,152.184478,8,0.3,0.9,9,38,3
23,121,2,0,2,70,22,114,-32.666561,152.173543,8,0,0.9,9,37,3
23,121,3,0,2,1,27,115,-32.666478,152.174204,0,0,0.8,10,38,3
23,121,4,0,2,0,30,116,-32.666319,152.174204,28,0,0.8,10,38,3
23,121,5,0,2,4,29,117,-32.666319,152.174229,2,0,1,9,38,3
23,121,6,0,2,16,29,118,-32.665855,152.174509,16,0,0.7,12,38,3
23,121,7,0,2,13,26,119,-32.665537,152.174738,70,0,1.4,6,40,3
23,121,8,0,2,18,25,120,-32.666872,152.171864,29,0,1,8,38,3
23,121,9,0,2,5,31,121,-32.666936,152.171457,0,0,0.9,8,38,3
23,121,10,0,2,3,31,122,-32.666879,152.171763,16,0,1,8,38,3
23,121,11,0,2,0,31,123,-32.666898,152.171737,2,0,1,8,38,3
23,121,12,0,2,1,31,124,-32.666885,152.171712,0,0,0.8,9,38,3
23,121,13,0,2,1,32,125,-32.666891,152.171737,0,0,0.8,10,38,3
23,121,14,0,2,0,32,126,-32.66684,152.171661,0,0,1,8,38,3
23,121,15,0,2,0,30,127,-32.666891,152.171712,7,0,1.1,7,38,3
23,121,16,0,2,3,31,128,-32.666828,152.171686,5,0,0.8,9,37,3
23,121,17,0,2,16,32,129,-32.666847,152.171712,24,0,0.9,8,39,3
23,121,18,0,2,8,27,130,-32.665295,152.175043,5,0,0.9,8,38,3
23,121,19,0,2,2,29,131,-32.66562,152.174738,0,0,1.1,7,37,3
23,121,20,0,2,0,31,132,-32.665753,152.174814,40,0,0.8,10,38,3
23,121,21,0,2,2,34,133,-32.66588,152.174738,0,0,0.9,8,38,3
23,121,22,0,2,0,28,134,-32.665696,152.174764,12,0,0.9,8,38,3
23,121,23,0,2,1,29,135,-32.66574,152.174738,17,0,0.9,8,37,3
23,122,0,0,2,1,32,136,-32.665702,152.174738,17,0,0.8,9,38,3
23,122,1,0,2,96,20,137,-32.652383,152.170237,0,0.3,0.9,9,38,3
23,122,2,0,2,93,19,138,-32.639088,152.170771,12,0.3,1.1,8,38,3
23,122,3,0,2,94,20,139,-32.639171,152.180282,0,0,0.7,11,69,3
23,122,4,0,2,2,28,140,-32.639139,152.180308,10,0,0.8,10,40,3
23,122,5,0,2,1,37,141,-32.639197,152.180384,0,0,0.9,9,38,3
23,122,6,0,2,82,25,142,-32.639991,152.177942,1,0.3,0.9,10,38,3
23,122,7,0,2,26,21,143,-32.639699,152.186767,13,0,1.2,8,38,3
23,122,8,0,2,0,29,144,-32.639476,152.186691,3,0,1.1,8,38,3
23,122,9,0,2,0,32,145,-32.639375,152.18636,61,0,0.7,10,37,3
23,122,10,0,2,23,33,146,-32.640246,152.18725,37,0.3,1.2,8,39,3
23,122,11,0,2,2,29,147,-32.642846,152.184275,10,0,0.9,9,38,3
23,122,12,0,2,2,32,148,-32.642719,152.184224,0,0,0.8,9,38,3
23,122,13,0,2,1,32,149,-32.642655,152.184071,0,0,0.9,8,38,3
23,122,14,0,2,84,28,150,-32.641199,152.178909,0,0.1,1.2,8,38,3
23,122,15,0,2,39,29,151,-32.639127,152.180308,0,0,1.5,5,38,3
23,122,16,0,2,0,33,152,-32.639699,152.181045,7,0,1,8,37,3
23,122,17,0,2,97,25,153,-32.644251,152.185318,10,0.1,0.8,9,38,3
23,122,18,0,2,79,23,154,-32.640722,152.176823,7,0.3,0.7,11,38,3
23,122,19,0,2,41,25,155,-32.640538,152.17545,13,0,0.9,9,39,3
23,122,20,0,2,1,32,156,-32.640487,152.174814,3,0,0.8,10,38,3
23,122,21,0,2,9,30,157,-32.640557,152.174814,0,0,1,9,38,3
23,122,22,0,2,0,30,158,-32.640519,152.174891,0,0,0.8,9,38,3
23,122,23,0,2,0,30,159,-32.640462,152.174789,0,0,1.6,6,38,3
