Species,Count,Date,Time_start,Time end,Pack,IDs,Photos,Latitude,Longitude,Location,Behaviour,Description,Observer,Record_type,SEX,AGE
Dingo,1,17-03-2019,9:31,,FS,Unknown,,-32.3985,152.4739,Lake,Walking,Uniformly tanned dog,,Researcher,U,A
Dingo,1,9-06-2019,,,SL,SLF1501,,-32.608184,152.230277,Campground,Walking,,,Researcher,F,A
Dingo,3,16-07-2019,,,MB,MBF1401 MBF1701 MBM1501,,-32.509156,152.317336,Offroad ,Walking,,,Researcher,V,A
Dingo,1,11-09-2019,,,FS,UOM1602,,-32.3985,152.4739,,Walking,dark coloured snout,,Researcher,M,A
Dingo,4,24-09-2019,11:02,,SL,SLF1501 SLF1901 SLM1902 Unknown,,-32.595825,152.255073,Roadside,Resting,"With three pups at construction site, Mungo brush road relocation",BA/CP,Researcher,F,A
Dingo,1,29-10-2019,,,MB,MBF1701,,-32.5092,152.3173,Campground,Walking,,,Researcher,F,A
Dingo,2,30-10-2019,6:58,7:10,NA,Unknown,,,,Campground,,sniffing around camp site. One tent present. Body condition 2. Skinny.,NJ/BA/CP/MC,Researcher,F,A
Dingo,4,30-10-2019,13:45,,UNK,Unknown,,-32.400577,152.475785,Road,Walking,Trotting along road behind smiths lake,NP,Researcher,M,A
Dingo,2,30-10-2019,13:50,,UNK,Unknown,,-32.538788,152.31711,Campground,,Dees corner,NP,Researcher,F,A
Dingo,3,31-10-2019,5:50,6:05,MB,MBF1701,,-32.541536,152.31285,Road,Running,Running from vehicle near palm forest. Made way to Mungo Brush bins (trapped their shortly after),NJ/BA/MC,Researcher,F,A
Dingo,3,31-10-2019,8:30,10:00,MB,MBF1701,,-32.545763,152.308047,Trap,Trapped,Collared and released,NJ/BA/CP/MC,Researcher,F,A
Dingo,3,31-10-2019,18:40,19:10,MB,MBF1601,,-32.538788,152.31711,Campground,Scavenging,Foraging around campsite- Dees corner. Set up traps and she triggered small one and escaped.,NJ/BA/CP/MC,Researcher,F,A
Dingo,1,31-10-2019,,,MB,MBF1601,,,,,resting,,,Researcher,F,A
Dingo,1,31-10-2019,,,MB,MBF1702,,-32.527179,152.322189,Campground,Sedated ,Collared and released,,Researcher,F,A
Dingo,1,1-11-2019,,,MB,MBF1702,,-32.538947,152.314958,Campground,Walking ,,,Researcher,F,A
Dingo,1,29-11-2019,,,UNK,Unknown,,,,National Park,Walking ,,,Researcher,F,
Dingo,2,1-12-2019,,,MB,MBM1501 MBM1901,,,,Roadside,Walking ,,,Researcher,M,A
Dingo,1,3-12-2019,,,MB,MBF1702,,,,Campground,,,,Researcher,F,A
Dingo,1,3-12-2019,,,PC,PCM1601 ,,-32.628871,152.203691,,Sedated ,Collared,,Researcher,M,A
Dingo,1,3-12-2019,,,WT,WTF1501,,-32.657278,152.184186,,Sedated ,Collared ,,Researcher,F,A
Dingo,2,3-12-2019,,,SL,SLF1901 SLM1902,,-32.607702,152.23228,,Resting ,,,Researcher,V,A
