Trap,x,y,Session,TrailType
PS1,423483.8042,6383908.967,1,Walktrail
PS2,423574.0792,6386402.249,1,4wdtrack
PS3,425165.5768,6388765.112,1,4wdtrack
PS4,426224.0854,6391757.461,1,Walktrail
PS5,428023.2917,6392481.238,1,4wdtrack
PS6,431812.3441,6394297.163,1,4wdtrack
PS7,433079.0548,6397151.54,1,4wdtrack
PS8,435510.3601,6399519.977,1,Walktrail
PS9,437032.6097,6402644.823,1,Walktrail
PS10,436951.0776,6403808.33,1,Walktrail
PS11,439252.656,6405986.504,1,Unsealedroad
PS12,439455.9293,6403913.578,1,Walktrail
PS13,441995.5766,6408728.728,1,4wdtrack
PS14,443455.8216,6406089.581,1,Walktrail
PS15,446143.9458,6408310.535,1,Unsealedroad
PS16,447305.5172,6409935.419,1,4wdtrack
PS17,450324.2031,6412215.133,1,Unsealedroad
PS18,449301.9296,6408379.315,1,4wdtrack
PS19,452328.6289,6410508.042,1,4wdtrack
PS20,453058.096,6415157.152,1,Walktrail
PS21,454468.1361,6411339.402,1,4wdtrack
PS22,449966.3088,6415040.479,1,Unsealedroad
PS23,432721.4991,6396085.316,1,4wdtrack
PS24,426520.2766,6391585.037,1,4wdtrack
PS1,423483.8042,6383908.967,2,Walktrail
PS2,423574.0792,6386402.249,2,4wdtrack
PS3,425165.5768,6388765.112,2,4wdtrack
PS5,428023.2917,6392481.238,2,4wdtrack
PS6,431812.3441,6394297.163,2,4wdtrack
PS9,437032.6097,6402644.823,2,Walktrail
PS11,439252.656,6405986.504,2,Unsealedroad
PS12,439455.9293,6403913.578,2,Walktrail
PS13,441995.5766,6408728.728,2,4wdtrack
PS14,443455.8216,6406089.581,2,Walktrail
PS15,446143.9458,6408310.535,2,Unsealedroad
PS16,447305.5172,6409935.419,2,4wdtrack
PS17,450324.2031,6412215.133,2,Unsealedroad
PS18,449301.9296,6408379.315,2,4wdtrack
PS19,452328.6289,6410508.042,2,4wdtrack
PS20,453058.096,6415157.152,2,Walktrail
PS21,454468.1361,6411339.402,2,4wdtrack
PS23,432721.4991,6396085.316,2,4wdtrack
PS24,426520.2766,6391585.037,2,4wdtrack
PS25,435128.3781,6404139.8,2,4wdtrack
PS26,434937.2176,6398877.046,2,SealedRoad
PS27,450228.6662,6415141.993,2,Unsealedroad
