Trap,Camera,Latitude,Longitude,Setup_date,Retrieval_date,Problem1_from,Problem1_to,TrailType
PS1,CamA,-32.679857,152.183854,8/12/2022,21/02/2023,,,Walktrail
PS1,CamB,-32.679857,152.183854,8/12/2022,21/02/2023,,,Walktrail
PS2,CamA,-32.657374,152.185021,9/12/2022,21/02/2023,,,4wdtrack
PS2,CamB,-32.657374,152.185021,9/12/2022,21/02/2023,,,4wdtrack
PS3,CamA,-32.63617,152.20218,9/12/2022,21/02/2023,5/01/2023,10/01/2023,4wdtrack
PS3,CamB,-32.63617,152.20218,9/12/2022,21/02/2023,,,4wdtrack
PS5,CamA,-32.60284,152.23293,8/12/2022,21/02/2023,,,4wdtrack
PS5,CamB,-32.60284,152.23293,8/12/2022,21/02/2023,,,4wdtrack
PS6,CamA,-32.5867,152.27344,8/12/2022,21/02/2023,,,4wdtrack
PS6,CamB,-32.5867,152.27344,8/12/2022,21/02/2023,5/02/2023,21/02/2023,4wdtrack
PS9,CamA,-32.51171,152.32962,8/12/2022,21/02/2023,21/12/2022,10/01/2023,Walktrail
PS9,CamB,-32.51171,152.32962,8/12/2022,21/02/2023,21/12/2022,10/01/2023,Walktrail
PS11,CamA,-32.48169,152.35347,5/12/2022,21/02/2023,5/12/2022,12/01/2023,Unsealedroad
PS11,CamB,-32.48169,152.35347,5/12/2022,20/02/2023,5/12/2022,12/01/2023,Unsealedroad
PS12,CamA,-32.5004,152.3555,8/12/2022,21/02/2023,,,Walktrail
PS12,CamB,-32.5004,152.3555,8/12/2022,21/02/2023,,,Walktrail
PS13,CamA,-32.4571,152.38283,5/12/2022,21/02/2023,,,4wdtrack
PS13,CamB,-32.4571,152.38283,5/12/2022,21/02/2023,28/12/2022,9/01/2023,4wdtrack
PS14,CamA,-32.480982,152.398208,5/12/2022,21/02/2023,,,Walktrail
PS14,CamB,-32.480982,152.398208,5/12/2022,21/02/2023,,,Walktrail
PS15,CamA,-32.461081,152.426943,5/12/2022,21/02/2023,,,Unsealedroad
PS15,CamB,-32.461081,152.426943,5/12/2022,21/02/2023,,,Unsealedroad
PS16,CamA,-32.446479,152.439393,5/12/2022,21/02/2023,,,4wdtrack
PS16,CamB,-32.446479,152.439393,5/12/2022,21/02/2023,,,4wdtrack
PS17,CamA,-32.426053,152.471627,5/12/2022,21/02/2023,5/12/2022,9/01/2023,Unsealedroad
PS17,CamB,-32.426053,152.471627,5/12/2022,21/02/2023,,,Unsealedroad
PS18,CamA,-32.460609,152.460548,5/12/2022,21/02/2023,,,4wdtrack
PS18,CamB,-32.460609,152.460548,5/12/2022,21/02/2023,,,4wdtrack
PS19,CamA,-32.44154,152.49286,5/12/2022,21/02/2023,,,4wdtrack
PS19,CamB,-32.44154,152.49286,5/12/2022,21/02/2023,,,4wdtrack
PS20,CamA,-32.399632,152.500851,5/12/2022,21/02/2023,,,Walktrail
PS20,CamB,-32.399632,152.500851,5/12/2022,21/02/2023,,,Walktrail
PS21,CamA,-32.43413,152.51566,6/12/2022,21/02/2023,,,4wdtrack
PS21,CamB,-32.43413,152.51566,6/12/2022,21/02/2023,,,4wdtrack
PS23,CamA,-32.570626,152.283255,8/12/2022,21/02/2023,,,4wdtrack
PS23,CamB,-32.570626,152.283255,8/12/2022,21/02/2023,,,4wdtrack
PS24,CamA,-32.610825,152.216843,8/12/2022,21/02/2023,,,4wdtrack
PS24,CamB,-32.610825,152.216843,8/12/2022,21/02/2023,,,4wdtrack
PS25,CamA,-32.498115,152.309451,5/12/2022,21/02/2023,,,4wdtrack
PS25,CamB,-32.498115,152.309451,5/12/2022,21/02/2023,,,4wdtrack
PS27,CamA,-32.399646,152.470765,7/12/2022,21/02/2023,,,Unsealedroad
PS27,CamB,-32.399646,152.470765,7/12/2022,21/02/2023,,,Unsealedroad
